timestamp,mac,seq_ctrl,aoa,master_rssi,worker_rssi,IQ_master,IQ_worker
161407737,7E:8A:AE:D6:C8:CD,22400,-44.13,-89,-73,0 0 1 -15 2 -10 2 -11 -2 -12 2 -11 0 -9 2 -7 3 -9 1 -11 -5 -8 -3 -13 -4 -15 -2 -7 0 -12 0 -8 0 -9 -4 -9 -3 -11 -4 -10 -5 -7 -4 -13 -10 -8 -3 -8 -3 -10 -6 -9 -5 -8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 -17 20 -9 19 -7 20 -11 15 -5 18 -3 15 -8 21 -4 18 -9 22 -5 16 -3 16 -2 18 -4 13 -5 12 -4 10 -4 9 -5 12 -4 10 -5 9 -5 8 -9 5 -11 -1 -6 3 -9 4 -10 4 -10,0 0 -14 -1 -14 0 -14 -1 -14 -1 -13 1 -15 0 -14 0 -12 1 -13 1 -13 1 -13 1 -12 2 -13 2 -13 2 -13 2 -12 1 -12 2 -13 1 -13 2 -13 1 -12 2 -12 1 -12 0 -11 0 -12 0 -12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -13 1 -14 0 -14 -1 -15 -1 -14 -2 -14 -3 -15 -2 -15 -3 -15 -2 -14 -3 -14 -3 -14 -3 -14 -4 -14 -3 -13 -2 -14 -3 -13 -2 -14 -2 -13 -1 -14 -2 -14 -1 -14 -1 -14 0 -14 -1 -14 -1 -14 0
161439364,7E:8A:AE:D6:C8:CD,22400,90.00,-84,-72,0 0 -6 -15 -9 -17 -5 -12 -6 -12 -4 -7 -6 -6 -5 -2 -7 2 -7 3 -11 5 -7 11 -9 12 -6 13 -8 15 -10 14 -7 17 -5 16 -5 12 -4 17 -4 14 -1 12 -3 8 1 7 3 6 3 5 5 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -2 -6 2 -5 9 -1 12 0 14 5 14 8 16 9 15 14 15 15 12 18 11 17 6 15 4 12 4 8 3 4 3 0 2 -4 2 -4 3 -6 2 -12 2 -12 0 -13 -2 -17 -2 -15 -3 -18 -2 -19,0 0 17 9 18 9 17 7 14 5 11 3 9 3 6 3 2 4 -1 5 -2 9 -3 11 -4 12 -4 15 -3 17 -2 18 0 18 0 19 2 17 2 15 2 14 2 11 0 7 -2 6 -4 3 -5 1 -8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -3 -11 -1 -9 2 -8 5 -7 8 -6 11 -5 14 -5 16 -6 18 -7 17 -6 18 -8 17 -9 16 -9 13 -9 12 -8 9 -8 7 -6 7 -4 5 -1 6 3 6 6 7 8 9 9 12 10 14 13 16 13
161478629,7E:8A:AE:D6:C8:CD,22416,90.00,-82,-74,0 0 9 0 7 -2 2 -2 1 -1 -2 -1 -8 -3 -11 1 -11 2 -17 5 -15 7 -13 10 -11 11 -13 13 -11 14 -7 7 -4 9 -4 10 -2 6 3 4 0 2 3 0 7 -4 3 -4 4 -5 5 -11 3 -11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -10 0 -10 -5 -13 -11 -12 -16 -12 -17 -14 -19 -11 -23 -12 -22 -8 -22 -10 -23 -7 -18 -2 -16 -1 -14 2 -8 4 -5 6 0 8 2 11 6 13 8 16 7 15 9 20 8 15 7 18 5 16 4 14 1,0 0 19 -6 17 -7 13 -6 11 -6 7 -4 5 -1 2 1 -1 4 -2 7 -4 10 -4 13 -4 15 -2 16 -2 19 0 18 0 18 1 18 2 15 2 13 1 10 1 8 -1 5 -3 1 -4 -1 -5 -4 -7 -7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -7 4 -7 1 -7 -3 -7 -7 -9 -10 -8 -13 -9 -16 -10 -18 -11 -19 -10 -19 -9 -19 -10 -17 -9 -15 -8 -14 -6 -11 -4 -7 -2 -5 1 -5 4 -3 8 -1 11 0 14 0 16 -2 19 -4 20 -4 20 -6
161518831,7E:8A:AE:D6:C8:CD,22432,-90.00,-79,-79,0 0 2 5 -1 6 -2 7 -4 9 -6 10 -7 12 -4 14 -4 15 -3 17 -2 15 0 14 1 13 2 11 3 9 2 6 0 3 -2 2 -4 -1 -7 -2 -9 -3 -11 -3 -13 -3 -13 -2 -14 0 -14 0 -13 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 -10 5 -11 6 -15 7 -14 10 -16 11 -17 10 -16 8 -15 8 -15 7 -11 8 -10 7 -6 9 -5 8 -2 10 3 11 6 12 4 14 8 15 9 17 9 17 9 16 7 15 7 15 5 11 4 10 2,0 0 7 -1 9 -2 8 -3 7 -6 7 -8 8 -11 8 -11 7 -12 6 -14 7 -13 5 -14 6 -13 3 -13 2 -12 2 -13 0 -11 -1 -11 -2 -10 -2 -10 -5 -9 -7 -10 -6 -9 -8 -8 -7 -8 -9 -8 -9 -8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 6 3 9 2 13 0 15 -3 18 -6 17 -8 17 -10 16 -9 15 -9 12 -9 11 -8 7 -3 5 1 3 4 4 8 3 11 5 13 5 15 6 17 8 17 9 16 8 15 9 13 8 13 8 12 7
162743732,7E:8A:AE:D6:C8:CD,22512,90.00,-81,-75,0 0 -9 -6 -11 -8 -12 -8 -16 -12 -15 -11 -16 -9 -17 -9 -16 -6 -14 -5 -13 -3 -10 -4 -7 -3 -5 -1 -1 -2 3 -2 6 -5 8 -6 10 -8 13 -10 14 -10 14 -13 13 -12 14 -12 11 -11 10 -10 9 -8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 -4 8 -5 9 -5 10 -5 11 -7 12 -5 11 -4 8 -3 6 -1 4 0 4 2 -1 6 -1 6 -2 9 -4 11 -4 13 -2 14 -4 16 -3 15 -3 16 -2 15 0 13 -3 7 -2 7 -3 4 -6 0,0 0 18 3 21 3 19 1 16 1 12 0 11 0 7 1 3 1 1 3 -2 6 -2 9 -3 11 -4 15 -2 17 -2 18 0 19 1 19 2 19 4 17 4 15 3 11 3 10 0 7 -1 4 -4 1 -6 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -12 -7 -9 -7 -7 -7 -3 -9 0 -9 4 -10 7 -12 9 -13 11 -15 12 -15 13 -17 12 -16 12 -17 9 -15 8 -14 6 -13 4 -10 4 -8 3 -5 3 -1 6 0 8 5 10 5 11 6 15 6 18 8
162778616,7E:8A:AE:D6:C8:CD,22528,-4.42,-80,-75,0 0 10 -2 13 -1 14 -2 17 -2 16 -4 17 -7 15 -5 13 -6 13 -7 11 -7 8 -6 6 -4 3 -2 4 2 1 4 0 7 1 9 -1 13 1 14 1 17 1 17 3 18 2 16 4 15 3 14 1 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -8 5 -9 5 -8 6 -10 7 -10 6 -9 7 -9 5 -9 4 -7 3 -6 0 -4 -2 -4 -5 -3 -7 -4 -11 -3 -13 -4 -14 -4 -15 -5 -16 -7 -14 -7 -16 -6 -14 -5 -11 -5 -11 -1 -8 1 -6 4 -6,0 0 10 -15 9 -18 9 -16 5 -16 5 -11 3 -12 3 -8 4 -5 4 -1 5 2 8 5 11 5 11 4 15 7 16 5 18 6 18 3 19 3 17 0 16 1 14 2 10 1 6 0 2 2 1 3 -2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -13 7 -11 4 -11 2 -7 -2 -8 -4 -5 -8 -7 -11 -8 -15 -7 -19 -7 -18 -8 -19 -10 -19 -10 -16 -9 -16 -8 -16 -9 -12 -7 -10 -4 -8 -3 -7 2 -7 4 -5 6 -6 8 -9 8 -9 13 -10 13 -13
162824136,7E:8A:AE:D6:C8:CD,22544,-2.25,-80,-75,0 0 2 -13 5 -13 6 -15 6 -17 3 -16 2 -19 2 -17 2 -16 -1 -14 0 -12 -1 -10 0 -8 1 -6 2 -4 5 -1 6 1 9 2 13 2 15 2 16 2 16 2 17 1 17 1 15 0 13 1 10 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -3 7 -3 9 -3 11 -5 10 -4 12 -4 8 -4 9 -4 7 -5 5 -5 2 -6 2 -6 -3 -8 -4 -9 -5 -11 -6 -14 -8 -14 -5 -14 -7 -15 -6 -16 -4 -14 -4 -13 -4 -9 -3 -6 -4 -3 -4 -3 -6,0 0 -4 -18 -6 -21 -7 -19 -7 -18 -6 -14 -6 -12 -4 -8 -2 -7 2 -5 4 -5 8 -3 10 -5 13 -6 15 -7 17 -9 17 -10 17 -12 15 -12 13 -13 13 -12 10 -10 9 -8 6 -4 4 -3 3 2 2 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -5 12 -5 10 -5 7 -7 5 -9 1 -10 -1 -13 -4 -15 -6 -16 -7 -16 -7 -17 -7 -18 -8 -19 -6 -17 -5 -16 -3 -14 -2 -12 -2 -10 -1 -6 -2 -5 -3 -3 -5 -2 -10 0 -11 -1 -15 0 -16 -1 -18
166101787,7E:8A:AE:D6:C8:CD,22864,27.42,-79,-74,0 0 4 -11 3 -14 5 -14 6 -15 6 -18 5 -18 4 -17 4 -16 2 -16 1 -14 2 -12 2 -9 2 -7 4 -6 6 -3 8 -3 9 -2 13 -2 13 -2 15 -3 15 -3 15 -3 15 -3 14 -4 11 -4 11 -2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11 4 -10 5 -10 5 -10 7 -8 8 -9 6 -8 6 -8 4 -6 2 -5 0 -4 -2 -5 -5 -6 -7 -9 -9 -9 -9 -10 -11 -11 -10 -13 -10 -13 -11 -14 -10 -14 -9 -12 -8 -11 -7 -9 -7 -3 -8 -3 -9,0 0 18 0 19 0 19 -1 18 -2 16 -3 16 -5 11 -3 9 -3 8 -1 6 1 4 4 3 6 3 9 3 13 3 13 4 16 5 16 6 17 6 16 7 15 7 13 5 11 4 9 3 7 0 4 -2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11 -7 -9 -6 -7 -6 -6 -6 -2 -5 1 -7 3 -7 4 -8 7 -9 7 -10 8 -11 9 -14 9 -15 7 -15 6 -14 4 -15 3 -14 2 -12 1 -10 1 -7 2 -7 4 -4 6 -1 8 -1 12 1 14 2
166134502,7E:8A:AE:D6:C8:CD,22880,-47.45,-80,-75,0 0 7 17 5 13 7 14 8 13 7 13 4 14 4 13 6 12 7 12 8 12 6 14 6 13 6 13 7 12 6 13 8 11 6 11 7 14 7 11 7 12 6 14 4 11 6 10 5 9 5 12 3 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 6 4 6 4 6 4 7 5 7 3 10 4 8 4 9 4 10 4 10 4 10 5 12 4 12 5 10 6 10 6 12 5 11 5 11 6 11 7 12 8 14 8 12 8 13 7 14 7 15 8 14,0 0 5 -13 8 -15 6 -13 6 -12 5 -13 5 -13 6 -13 7 -13 5 -14 4 -15 6 -14 6 -12 4 -13 4 -14 5 -14 5 -13 5 -14 5 -12 5 -13 6 -12 5 -11 4 -12 6 -10 5 -12 5 -9 5 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 -10 6 -11 5 -12 7 -11 6 -10 7 -10 7 -12 8 -11 7 -10 6 -10 6 -10 8 -10 8 -10 6 -11 8 -11 6 -12 6 -10 6 -12 4 -10 7 -12 7 -12 4 -13 4 -13 4 -12 6 -12 5 -14
167402086,7E:8A:AE:D6:C8:CD,23024,-24.17,-80,-73,0 0 15 9 13 9 15 9 17 8 16 7 16 6 14 3 13 3 10 1 8 2 7 3 4 5 3 5 0 7 1 9 -3 13 -2 13 -1 16 -1 17 -1 18 0 18 -1 17 0 17 -1 14 0 13 -2 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -5 -10 -6 -8 -7 -7 -5 -6 -4 -6 -4 -5 -1 -5 1 -5 4 -6 6 -5 7 -5 10 -7 12 -7 11 -9 12 -11 11 -11 11 -13 9 -13 8 -11 9 -11 6 -8 6 -5 6 -2 8 1 9 3 9 2,0 0 11 -14 11 -16 10 -17 8 -16 7 -14 6 -12 5 -11 4 -6 4 -5 5 -3 7 -1 9 1 11 2 14 3 14 1 17 0 17 -1 17 -3 17 -4 16 -4 13 -4 12 -4 9 -3 7 -1 5 0 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -12 -5 -11 -6 -8 -6 -6 -7 -4 -7 -2 -9 -1 -11 0 -13 1 -15 1 -16 1 -17 0 -17 -1 -17 -2 -17 -3 -16 -4 -15 -3 -12 -3 -11 -2 -9 0 -8 2 -8 5 -7 7 -7 9 -8 11 -10 13 -12
167932354,7E:8A:AE:D6:C8:CD,23040,14.23,-81,-73,0 0 -13 -9 -18 -10 -17 -11 -20 -8 -17 -8 -17 -7 -16 -5 -13 -3 -12 -2 -10 -4 -6 -3 -5 -4 -2 -7 -2 -8 -1 -12 -1 -12 -1 -17 -1 -17 -2 -19 -2 -19 -3 -19 -4 -18 -3 -18 -3 -15 -2 -14 0 -11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 10 3 9 3 8 2 8 0 6 1 5 -3 3 -5 4 -6 4 -10 5 -11 3 -13 5 -15 5 -13 7 -13 6 -13 9 -12 9 -12 9 -10 7 -8 7 -8 4 -7 3 -8 0 -8 -2 -8 -5 -12 -7,0 0 -7 -17 -9 -17 -10 -17 -10 -16 -9 -13 -9 -11 -6 -9 -5 -8 -2 -7 1 -7 3 -8 5 -9 7 -10 8 -13 8 -15 8 -16 8 -19 6 -18 4 -19 4 -18 3 -16 2 -14 1 -11 2 -9 2 -6 3 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -10 6 -10 4 -9 2 -9 0 -10 -2 -9 -4 -11 -6 -11 -8 -12 -9 -14 -10 -14 -10 -15 -9 -17 -9 -15 -7 -14 -6 -14 -5 -11 -5 -10 -4 -8 -5 -6 -6 -4 -7 -4 -8 -3 -11 -2 -12 -3 -16 -5 -18
168569128,7E:8A:AE:D6:C8:CD,23152,29.46,-80,-72,0 0 -7 -13 -9 -16 -9 -16 -10 -17 -9 -14 -10 -15 -10 -11 -10 -9 -8 -7 -5 -6 -4 -7 -2 -5 0 -7 2 -8 3 -9 4 -12 4 -13 5 -15 6 -17 4 -18 3 -17 2 -16 2 -16 1 -15 4 -13 4 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -6 9 -6 7 -7 8 -5 6 -5 3 -4 3 -6 1 -5 -3 -7 -3 -8 -3 -9 -4 -11 -6 -12 -5 -14 -2 -15 -2 -16 -2 -14 0 -14 1 -13 2 -11 0 -10 0 -8 -2 -7 -4 -7 -6 -6 -10 -7 -11,0 0 14 -11 14 -14 13 -14 11 -13 9 -12 8 -10 6 -8 6 -6 5 -4 6 -1 8 1 9 2 11 3 14 2 14 1 16 0 18 -1 17 -2 16 -4 16 -4 12 -4 11 -4 8 -3 6 -1 5 0 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -7 -11 -6 -11 -4 -10 -2 -10 0 -11 3 -11 3 -12 6 -13 6 -14 6 -14 7 -15 7 -16 6 -16 4 -16 3 -15 3 -14 2 -12 2 -11 2 -8 4 -8 5 -6 7 -6 10 -6 12 -6 14 -8 15 -9
168630582,7E:8A:AE:D6:C8:CD,23168,-27.89,-81,-73,0 0 -12 -14 -13 -15 -15 -14 -15 -15 -14 -12 -15 -7 -14 -8 -11 -7 -9 -5 -7 -6 -4 -5 0 -6 -1 -7 1 -8 2 -11 2 -12 1 -17 1 -15 -1 -18 0 -20 -1 -19 0 -19 0 -16 0 -15 -2 -11 2 -11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 -2 8 -2 9 -3 8 -3 5 -1 3 -4 3 -6 2 -8 1 -10 0 -10 -1 -13 -3 -15 1 -15 1 -14 2 -14 4 -13 4 -11 6 -12 4 -11 3 -10 4 -9 1 -7 -1 -8 -4 -9 -4 -8 -11,0 0 -14 12 -14 16 -12 14 -10 14 -8 12 -7 11 -6 7 -4 5 -7 3 -8 0 -10 -1 -11 -3 -13 -4 -16 -3 -17 -1 -17 -1 -19 1 -18 2 -17 3 -15 3 -13 3 -12 4 -10 1 -6 1 -5 -3 -5 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 7 8 6 6 7 3 8 2 9 0 10 -3 12 -5 14 -5 14 -5 15 -6 17 -3 17 -3 16 -2 16 -1 15 0 13 0 11 -1 10 -1 8 -3 7 -6 7 -8 5 -11 5 -12 8 -14 8 -16 11
169075100,7E:8A:AE:D6:C8:CD,23280,5.21,-80,-73,0 0 -19 5 -17 5 -16 7 -17 8 -15 7 -15 7 -13 7 -11 9 -10 6 -9 5 -7 2 -6 1 -7 -1 -9 -3 -10 -5 -12 -5 -14 -8 -14 -7 -16 -6 -17 -6 -17 -6 -17 -5 -16 -4 -13 -4 -13 -5 -9 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 8 6 8 4 7 5 6 3 7 2 6 0 7 -2 5 -3 7 -5 7 -7 9 -6 10 -7 11 -6 12 -5 13 -4 15 -3 14 -4 13 -3 13 -1 12 -2 9 -4 9 -5 6 -8 7 -11 6 -12 6,0 0 -18 4 -20 5 -18 6 -16 6 -14 6 -13 5 -10 5 -9 3 -8 1 -7 -2 -8 -5 -9 -6 -10 -7 -12 -8 -14 -8 -15 -7 -16 -7 -17 -6 -17 -5 -17 -4 -15 -3 -13 -2 -11 -2 -8 -3 -6 -4 -4 -6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 12 -1 10 -2 9 -4 8 -6 8 -8 7 -10 7 -12 7 -14 7 -14 8 -14 9 -14 9 -13 11 -11 10 -10 9 -9 9 -7 8 -7 7 -6 5 -7 3 -8 2 -9 1 -11 0 -13 -1 -15 1 -17 0
169136676,7E:8A:AE:D6:C8:CD,23296,-0.43,-81,-74,0 0 -14 -8 -16 -9 -18 -9 -18 -7 -17 -7 -17 -4 -16 -4 -14 -4 -12 -3 -12 -2 -8 -5 -8 -6 -6 -7 -6 -9 -5 -10 -5 -11 -6 -13 -7 -16 -8 -17 -10 -14 -9 -16 -8 -15 -9 -13 -8 -12 -7 -12 -6 -10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -4 10 -5 9 -5 8 -4 7 -4 6 -5 5 -5 2 -7 2 -8 1 -9 -1 -11 0 -11 0 -13 1 -15 1 -13 4 -14 4 -15 6 -13 7 -12 7 -11 5 -13 4 -9 2 -8 1 -10 -3 -9 -4 -12 -6,0 0 -17 -5 -20 -5 -18 -4 -17 -4 -16 -2 -13 -1 -12 -1 -9 -2 -8 -3 -7 -5 -6 -7 -6 -9 -6 -11 -7 -14 -8 -13 -10 -14 -12 -15 -12 -13 -13 -13 -13 -12 -12 -9 -11 -9 -8 -7 -6 -6 -4 -6 -2 -6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -7 8 -7 8 -8 6 -8 4 -9 3 -11 1 -13 0 -14 -1 -15 -2 -17 -1 -17 -1 -17 0 -16 1 -16 2 -14 3 -13 3 -11 2 -10 2 -9 1 -8 0 -8 -2 -8 -3 -9 -5 -10 -8 -11 -6 -14 -8
169182212,7E:8A:AE:D6:C8:CD,23312,-50.56,-80,-74,0 0 -7 -14 -6 -15 -9 -17 -10 -16 -11 -15 -10 -12 -10 -11 -9 -11 -9 -7 -6 -9 -5 -9 -4 -8 -1 -9 1 -9 1 -11 2 -13 2 -15 2 -17 2 -17 4 -17 0 -19 0 -16 -1 -16 0 -14 -1 -13 3 -10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -7 5 -8 6 -5 4 -6 5 -7 3 -6 3 -6 1 -7 -1 -7 -4 -8 -5 -9 -5 -13 -5 -12 -5 -14 -4 -14 -4 -15 -3 -14 -2 -15 -2 -15 -2 -12 1 -11 -3 -11 -2 -8 -3 -7 -5 -8 -8 -8 -13,0 0 -2 19 -2 17 -1 17 1 16 2 14 2 12 1 11 0 9 -2 7 -3 5 -5 6 -8 7 -9 7 -12 9 -12 10 -12 12 -12 13 -12 14 -10 14 -10 15 -8 12 -7 11 -6 10 -5 6 -5 3 -6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 3 9 4 7 5 7 6 4 8 3 9 3 11 2 13 2 13 2 15 3 15 4 16 5 14 6 14 6 12 5 10 6 9 5 8 3 7 1 6 0 7 -2 7 -4 10 -4 10 -4 13 -4 15
169244890,7E:8A:AE:D6:C8:CD,23328,45.64,-79,-73,0 0 -15 0 -19 1 -19 1 -20 1 -18 2 -18 2 -14 3 -13 3 -13 4 -11 2 -10 1 -8 -1 -9 -2 -8 -4 -10 -4 -10 -6 -13 -8 -13 -8 -15 -8 -16 -8 -14 -7 -15 -5 -15 -5 -13 -4 -13 -5 -11 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 10 -1 8 -1 8 -1 7 0 7 -2 7 -3 3 -5 4 -7 4 -7 3 -9 5 -9 6 -11 6 -12 7 -12 8 -11 10 -9 11 -11 12 -8 11 -8 10 -8 8 -8 7 -8 5 -10 3 -11 4 -14 1,0 0 8 -16 8 -19 6 -19 5 -18 4 -17 2 -15 2 -12 2 -10 3 -8 5 -7 8 -6 9 -5 11 -5 14 -6 14 -7 15 -7 15 -10 15 -11 14 -11 13 -12 12 -10 10 -9 8 -8 7 -5 7 -4 6 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -8 -9 -7 -9 -5 -9 -3 -9 -1 -9 0 -10 2 -11 3 -13 3 -14 3 -14 3 -16 2 -16 1 -16 -1 -15 -1 -15 -2 -14 -2 -12 -1 -11 -1 -10 1 -9 3 -8 4 -8 6 -8 8 -11 9 -12 10 -14
169311627,7E:8A:AE:D6:C8:CD,23344,90.00,-79,-72,0 0 -13 -9 -17 -9 -15 -9 -17 -8 -17 -9 -17 -8 -16 -5 -13 -5 -13 -3 -11 -4 -9 -4 -9 -5 -8 -6 -6 -9 -5 -10 -8 -11 -9 -13 -9 -14 -9 -14 -10 -14 -11 -14 -10 -12 -11 -12 -10 -10 -9 -10 -7 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -7 8 -7 8 -5 8 -6 7 -6 6 -6 5 -7 3 -8 0 -8 0 -9 -1 -11 -2 -13 -3 -13 -2 -14 -2 -16 -1 -17 1 -16 2 -16 4 -14 5 -13 4 -13 4 -12 1 -10 -1 -10 -2 -11 -4 -13 -8,0 0 14 9 16 10 16 8 16 6 14 5 14 4 11 4 9 4 7 4 5 5 3 8 3 10 3 12 4 13 5 15 6 15 7 17 8 16 9 14 8 14 8 12 8 10 5 9 4 7 1 7 -1 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 -7 8 -6 8 -4 8 -3 8 0 9 1 10 2 11 4 12 4 13 4 14 4 15 3 15 3 14 1 14 0 13 -1 11 -2 10 -1 8 0 8 1 7 3 7 5 7 7 9 8 10 11 12 11
169373661,7E:8A:AE:D6:C8:CD,23360,13.55,-79,-72,0 0 12 -11 10 -14 9 -14 11 -15 10 -14 9 -14 7 -12 6 -11 5 -11 5 -9 5 -7 6 -6 7 -4 7 -4 10 -3 11 -4 13 -5 12 -6 14 -6 14 -5 14 -7 13 -8 12 -7 10 -7 8 -5 8 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -7 -9 -7 -9 -8 -7 -6 -7 -4 -7 -4 -6 -3 -6 0 -7 1 -8 2 -9 2 -11 3 -10 2 -13 2 -12 2 -14 1 -16 0 -15 -1 -14 -1 -14 -2 -12 -1 -12 1 -10 2 -10 5 -11 5 -9 9 -11,0 0 17 -5 18 -6 17 -7 15 -7 14 -7 12 -7 10 -6 8 -4 8 -2 8 0 8 2 9 3 11 4 12 6 14 6 15 6 16 5 16 4 17 4 16 2 15 1 13 2 10 1 8 2 6 3 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11 1 -10 2 -9 3 -8 4 -7 6 -7 8 -7 9 -7 11 -7 12 -8 12 -8 12 -10 11 -11 9 -11 9 -11 8 -11 6 -10 6 -9 5 -8 6 -6 7 -4 8 -3 10 -1 13 -1 14 -1 16 -3
169415943,7E:8A:AE:D6:C8:CD,23376,-9.05,-78,-73,0 0 16 1 17 -1 19 -2 19 -2 17 -4 16 -4 15 -5 13 -5 12 -3 11 -3 8 -1 7 0 9 1 9 3 9 4 10 4 12 5 14 4 13 6 16 4 16 4 14 3 13 2 12 3 12 3 10 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 -11 1 -11 0 -11 2 -11 1 -8 1 -8 4 -6 4 -6 6 -5 7 -5 8 -5 11 -6 12 -7 12 -7 12 -9 12 -11 11 -11 10 -11 7 -11 8 -11 7 -9 8 -8 7 -8 7 -4 11 -4 13 -1,0 0 13 -11 15 -13 13 -14 11 -14 10 -13 8 -13 7 -10 5 -8 6 -6 8 -5 9 -2 10 -1 12 -1 14 -1 15 -2 16 -3 17 -4 17 -5 16 -6 16 -6 14 -6 11 -6 10 -4 8 -3 7 -1 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -3 -11 -2 -10 -1 -10 1 -9 3 -9 4 -9 6 -9 8 -9 10 -10 9 -11 9 -13 8 -13 8 -14 7 -14 5 -14 4 -13 3 -12 2 -10 3 -9 4 -8 6 -7 8 -6 8 -6 11 -6 12 -7 14 -8
169476625,7E:8A:AE:D6:C8:CD,23392,-33.89,-78,-72,0 0 -13 -1 -18 1 -18 1 -20 2 -16 1 -16 3 -13 5 -12 2 -12 3 -10 2 -10 0 -9 0 -8 -4 -9 -3 -11 -5 -11 -5 -13 -5 -13 -5 -15 -5 -15 -4 -15 -5 -17 -3 -16 -1 -13 -3 -11 -3 -9 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -2 10 -2 11 -2 9 -1 9 -1 8 -2 6 -4 5 -6 7 -7 5 -9 5 -7 4 -13 6 -13 5 -12 6 -13 8 -12 9 -11 8 -10 10 -10 10 -9 10 -8 8 -8 6 -9 5 -9 3 -12 2 -13 0,0 0 6 17 5 19 7 18 8 15 7 14 7 12 5 11 5 10 3 8 0 8 -1 9 -3 9 -4 12 -5 13 -4 15 -5 16 -3 17 -2 17 -2 17 0 17 1 14 0 11 0 10 -1 9 -2 7 -5 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 2 10 1 8 2 6 3 6 5 5 6 4 7 5 9 5 11 7 11 6 14 8 12 9 12 10 12 9 10 10 9 9 8 8 7 6 6 6 6 4 7 2 7 2 10 2 13 1 12 2 16
