timestamp,mac,seq_ctrl,aoa,IQ_master,IQ_worker
81899523,7E:8A:AE:D6:C8:CD,32896,-8.46,0 0 2 -16 4 -19 5 -19 6 -18 6 -17 6 -16 5 -13 3 -11 2 -9 0 -7 -3 -5 -5 -3 -8 -1 -11 0 -13 1 -15 1 -17 0 -18 -1 -19 -2 -19 -3 -17 -4 -15 -5 -13 -5 -10 -4 -8 -3 -6 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -7 8 -7 8 -6 6 -5 5 -3 4 -1 4 2 4 4 4 6 4 8 4 10 6 11 7 13 7 12 7 12 8 12 8 11 8 10 7 9 5 8 4 6 1 5 -1 3 -4 2 -7 2 -10 3 -13,0 0 -12 14 -12 15 -13 14 -13 13 -12 11 -12 10 -9 9 -7 8 -6 8 -3 8 0 7 2 8 4 9 6 11 6 11 7 13 8 14 7 15 6 16 4 16 3 15 2 14 1 12 1 10 1 8 2 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -6 -9 -5 -10 -4 -9 -4 -7 -3 -5 -5 -4 -6 -2 -7 -1 -10 0 -11 1 -14 0 -15 -1 -16 -2 -16 -2 -16 -4 -15 -5 -14 -5 -12 -4 -10 -3 -8 -1 -7 1 -6 3 -5 6 -5 9 -7 12 -9 15
81954960,7E:8A:AE:D6:C8:CD,32912,-28.14,0 0 -12 12 -12 9 -12 10 -11 10 -11 10 -12 10 -11 9 -10 10 -11 10 -10 10 -10 11 -10 11 -10 11 -10 11 -10 11 -10 10 -10 10 -10 11 -10 10 -11 10 -11 10 -11 9 -11 9 -10 8 -10 8 -11 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -8 7 -9 7 -9 7 -9 7 -10 7 -10 7 -10 7 -11 6 -11 6 -11 6 -11 6 -11 7 -11 7 -10 6 -10 7 -11 7 -10 8 -10 8 -10 8 -10 9 -11 9 -10 9 -10 10 -10 10 -11 11 -10 10,0 0 6 16 5 13 5 13 6 12 6 12 6 12 5 11 6 11 6 10 6 10 7 10 7 10 7 9 7 9 7 9 7 7 8 8 8 8 8 8 8 9 7 8 6 8 6 9 6 9 6 8 6 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 6 9 7 9 7 9 9 9 9 8 9 8 10 8 11 8 11 7 12 6 12 7 12 7 13 7 13 7 13 7 14 7 14 6 13 6 13 7 13 7 14 7 14 7 14 6 15 7 15 8 14
84031664,7E:8A:AE:D6:C8:CD,0,-2.95,0 0 2 13 2 17 1 17 -1 17 -1 16 -2 15 -2 14 -2 12 -1 11 0 9 2 8 4 8 6 7 8 8 8 8 10 9 10 10 10 12 9 13 8 14 6 14 4 13 4 11 3 10 2 9 3 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -8 4 -9 4 -8 4 -8 4 -7 5 -7 5 -7 6 -6 7 -6 8 -6 8 -7 9 -7 10 -8 11 -8 11 -8 11 -9 10 -9 10 -8 9 -7 9 -6 9 -5 9 -4 9 -2 9 0 9 0 11 1 13,0 0 -1 13 0 14 0 13 1 12 2 12 3 12 4 12 4 13 5 13 5 14 5 14 5 14 4 14 4 14 3 13 3 12 4 12 3 12 4 11 4 11 5 10 5 10 5 11 5 11 4 11 4 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 7 0 9 0 11 -1 12 -3 13 -5 12 -6 12 -7 11 -7 10 -7 9 -6 9 -5 9 -4 9 -3 8 -1 9 -1 10 0 11 0 12 0 13 0 14 0 15 0 15 -1 14 -1 14 -1 15 -1 15
84086792,7E:8A:AE:D6:C8:CD,33008,20.64,0 0 14 3 13 4 13 4 13 3 13 3 14 3 13 3 13 3 13 2 14 2 14 2 14 2 14 1 15 1 14 1 14 1 15 1 15 1 15 2 15 2 15 3 14 3 14 3 13 3 13 3 13 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 4 9 4 9 5 9 5 9 5 9 6 9 6 10 6 9 6 9 6 9 6 9 6 10 7 9 6 9 6 10 6 10 5 10 5 10 5 11 5 11 5 11 4 11 4 12 3 12 3 12 3,0 0 4 14 6 10 6 12 7 12 6 12 5 14 3 12 2 11 2 11 3 10 4 10 4 11 3 10 2 12 1 10 1 8 0 7 0 7 1 7 1 8 -1 8 -2 8 -3 5 -5 4 -3 3 -4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 21 1 21 0 19 0 18 1 17 1 18 0 17 -1 18 -1 16 0 15 2 14 2 15 2 15 2 15 2 14 2 14 2 14 2 13 3 13 3 12 4 12 3 12 3 10 5 11 5 11 9 10
84138032,7E:8A:AE:D6:C8:CD,33024,17.19,0 0 12 12 12 14 11 14 10 14 9 13 8 13 6 10 6 8 5 5 4 2 5 -1 5 -4 6 -7 7 -9 8 -11 9 -12 11 -13 13 -12 14 -11 14 -10 14 -8 12 -6 10 -5 7 -4 5 -4 3 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -8 -8 -7 -7 -6 -6 -5 -4 -5 -3 -5 -1 -5 2 -6 4 -8 6 -9 7 -10 8 -12 9 -13 9 -13 8 -13 8 -13 7 -11 6 -10 6 -8 5 -6 5 -3 5 0 5 3 5 5 6 8 8 10 9,0 0 14 -10 15 -10 14 -9 13 -8 12 -7 11 -8 9 -8 8 -9 8 -10 7 -11 7 -12 7 -13 7 -14 8 -14 9 -14 9 -14 10 -14 10 -13 11 -12 11 -11 10 -9 9 -9 9 -9 8 -8 7 -8 7 -8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 -4 7 -5 7 -5 8 -5 8 -6 9 -6 10 -7 11 -6 12 -6 12 -6 13 -5 13 -4 12 -4 12 -4 11 -4 10 -4 10 -4 10 -5 8 -6 9 -7 9 -9 9 -10 9 -10 10 -11 12 -12 13 -12
85051986,7E:8A:AE:D6:C8:CD,0,45.30,0 0 8 -14 8 -12 8 -12 8 -12 7 -11 8 -12 7 -11 6 -11 7 -11 6 -12 6 -12 6 -11 5 -11 6 -12 5 -11 5 -11 5 -12 6 -12 5 -11 5 -11 5 -11 5 -10 5 -10 5 -9 5 -9 6 -8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 -10 6 -11 6 -10 7 -10 7 -10 8 -10 8 -11 9 -11 9 -11 9 -10 9 -10 9 -10 9 -10 9 -10 9 -10 9 -11 9 -11 9 -10 8 -10 8 -12 8 -12 8 -12 8 -12 8 -12 8 -12 8 -12,0 0 6 12 6 14 6 14 5 13 6 12 6 12 6 12 6 11 6 12 7 11 7 12 7 11 7 10 7 11 7 9 7 10 7 10 7 10 7 10 6 10 6 10 6 10 6 10 5 9 5 9 4 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 10 5 11 5 11 4 12 4 12 4 12 4 13 4 13 3 14 3 13 3 13 3 13 3 14 3 13 3 13 3 14 3 13 3 13 4 13 5 13 5 14 5 13 5 13 5 13 5 13 5 13
85557784,7E:8A:AE:D6:C8:CD,33120,-0.01,0 0 0 17 -1 19 -1 19 0 18 0 17 0 16 0 13 1 10 1 8 1 4 0 0 0 -3 0 -7 -1 -10 -1 -12 -2 -15 -2 -17 -2 -18 -3 -18 -2 -18 -2 -17 -2 -15 -2 -13 -2 -10 -1 -8 -1 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 13 -2 12 -2 10 -2 7 -2 4 -2 1 -1 -2 -1 -5 0 -9 1 -11 2 -14 3 -16 3 -17 3 -17 2 -17 2 -17 2 -15 2 -14 1 -11 0 -9 0 -5 -1 -2 -1 2 -1 6 -1 9 -1 12,0 0 0 16 -2 17 -1 18 0 18 -1 17 0 17 0 14 1 11 1 9 1 6 0 2 -1 -1 -1 -4 -2 -8 -2 -10 -3 -13 -4 -15 -4 -16 -4 -17 -4 -18 -4 -17 -3 -15 -3 -13 -3 -11 -2 -8 -2 -6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -3 11 -3 11 -3 9 -3 8 -3 6 -2 4 -1 1 -1 -2 0 -5 1 -8 3 -10 3 -12 3 -14 3 -15 4 -16 4 -16 3 -15 3 -14 2 -12 2 -10 1 -7 0 -4 0 0 0 3 0 7 -1 9
86982014,7E:8A:AE:D6:C8:CD,0,3.53,0 0 12 -6 17 -7 18 -7 18 -5 17 -5 17 -4 15 -4 12 -3 11 -4 8 -4 5 -5 2 -6 0 -8 -2 -10 -3 -10 -5 -12 -6 -14 -6 -15 -5 -16 -5 -17 -4 -17 -3 -16 -3 -14 -2 -12 -2 -11 -2 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -12 6 -13 5 -12 3 -11 2 -9 1 -7 1 -4 2 -1 3 1 5 3 7 4 9 5 11 5 13 5 14 4 16 3 16 2 15 2 14 2 12 2 11 2 8 3 6 3 3 5 0 8 -2 11 -4,0 0 -6 11 -10 12 -11 13 -10 13 -11 14 -12 15 -11 13 -10 12 -9 11 -7 9 -5 7 -3 5 0 4 3 2 5 0 8 -1 11 -2 13 -2 15 -1 16 -1 16 0 16 1 15 1 13 1 11 1 9 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 1 12 2 11 2 11 3 10 3 8 2 6 2 4 0 2 -2 0 -4 -2 -6 -3 -8 -4 -11 -4 -13 -5 -15 -5 -16 -4 -16 -5 -16 -4 -15 -4 -15 -3 -13 -3 -10 -3 -6 -3 -3 -4 0 -5 2
87033278,7E:8A:AE:D6:C8:CD,33152,-0.42,0 0 2 13 1 18 0 18 -1 18 -1 17 -1 17 -2 14 -1 12 0 11 1 8 2 6 4 3 6 2 8 0 10 -1 12 -2 14 -3 15 -2 16 -2 16 -1 16 0 14 0 13 1 11 1 9 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -2 -14 -1 -13 0 -12 1 -11 1 -8 0 -6 -2 -4 -4 -2 -6 0 -9 1 -11 1 -14 0 -16 0 -16 0 -17 -1 -17 -2 -16 -3 -15 -3 -13 -2 -11 -2 -9 -1 -7 1 -4 2 -2 5 -1 8 0 11,0 0 3 11 2 14 3 16 3 17 3 16 3 17 2 16 2 14 2 13 2 10 2 7 2 4 3 1 3 -2 3 -5 4 -8 5 -11 6 -12 7 -14 9 -14 9 -14 9 -13 9 -12 8 -11 7 -9 6 -7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 -5 11 -5 11 -4 10 -4 9 -3 8 -2 6 -2 3 -2 1 -3 -2 -3 -5 -4 -7 -5 -10 -7 -11 -8 -12 -9 -13 -10 -13 -9 -14 -10 -12 -9 -12 -9 -10 -7 -8 -6 -6 -3 -4 0 -2 2 -1 4
87098839,7E:8A:AE:D6:C8:CD,0,18.07,0 0 -15 -9 -12 -10 -13 -10 -12 -9 -12 -9 -13 -9 -11 -8 -11 -8 -12 -8 -12 -7 -12 -7 -12 -7 -11 -6 -12 -6 -12 -5 -12 -5 -12 -5 -12 -5 -12 -5 -11 -5 -11 -5 -11 -5 -11 -5 -10 -5 -10 -5 -10 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -13 -7 -13 -8 -13 -8 -13 -9 -12 -10 -12 -10 -13 -11 -12 -12 -12 -12 -11 -12 -11 -12 -11 -12 -11 -12 -11 -11 -11 -11 -12 -12 -11 -11 -11 -11 -10 -10 -11 -10 -12 -10 -12 -10 -13 -10 -13 -10 -13 -10 -12 -9,0 0 2 -18 1 -16 1 -16 0 -16 0 -15 0 -16 -1 -15 0 -15 0 -15 -1 -16 -1 -16 -1 -15 -1 -14 -2 -15 -2 -15 -2 -15 -2 -16 -1 -16 -1 -15 -1 -15 -1 -15 0 -15 0 -14 1 -14 1 -14 2 -14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -2 -10 -2 -11 -1 -11 -1 -12 -1 -12 0 -12 0 -13 0 -13 1 -13 0 -12 1 -13 1 -13 1 -14 1 -14 1 -14 1 -14 1 -14 1 -14 0 -14 0 -15 0 -16 0 -15 0 -15 1 -15 0 -16 -1 -17
87150805,7E:8A:AE:D6:C8:CD,33184,-42.89,0 0 2 -15 4 -19 5 -19 6 -18 6 -17 6 -16 5 -14 4 -12 2 -11 1 -8 -2 -6 -4 -5 -7 -4 -10 -3 -11 -2 -13 -2 -16 -2 -16 -3 -17 -4 -17 -5 -16 -5 -14 -5 -13 -5 -11 -4 -9 -3 -8 -2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -5 11 -6 10 -6 9 -6 7 -4 5 -3 4 0 3 3 2 6 2 8 2 10 3 12 4 14 5 14 6 14 7 14 8 13 8 12 7 10 5 9 5 7 2 5 0 3 -2 2 -6 2 -9 4 -12,0 0 -13 5 -17 4 -18 4 -18 4 -18 4 -19 5 -17 4 -15 4 -14 3 -10 3 -7 2 -5 3 -1 3 2 3 5 3 9 4 12 5 13 5 14 7 15 8 15 8 14 9 13 9 11 8 9 7 6 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 10 5 11 4 11 3 10 3 9 2 7 1 5 1 2 2 -1 2 -3 3 -6 4 -9 5 -12 6 -13 7 -14 8 -15 8 -14 8 -14 7 -13 7 -12 5 -10 4 -8 1 -5 -2 -3 -4 -1 -7 0
87197383,7E:8A:AE:D6:C8:CD,33200,-27.73,0 0 -4 -16 -2 -16 -3 -16 -3 -15 -3 -15 -3 -15 -2 -14 -3 -13 -3 -14 -4 -13 -4 -14 -4 -13 -4 -13 -5 -13 -5 -12 -5 -12 -5 -12 -5 -12 -6 -12 -5 -12 -5 -11 -5 -11 -5 -11 -5 -10 -4 -10 -4 -10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -3 -14 -3 -14 -2 -14 -2 -15 -1 -15 -1 -15 -1 -16 0 -16 0 -16 1 -16 1 -16 1 -16 0 -16 0 -15 0 -15 0 -16 0 -16 0 -15 -1 -15 -2 -15 -2 -16 -2 -16 -2 -16 -2 -16 -3 -16 -3 -15,0 0 -16 0 -15 0 -14 0 -15 0 -14 0 -15 1 -13 1 -14 1 -14 1 -14 2 -14 2 -14 2 -13 2 -14 2 -13 3 -14 3 -14 3 -14 3 -14 2 -14 2 -14 2 -14 2 -14 1 -14 1 -13 1 -13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -10 1 -10 1 -11 1 -11 1 -12 0 -12 0 -12 0 -13 -1 -13 -1 -12 -1 -12 -1 -13 -1 -13 -1 -13 -1 -13 -2 -13 -2 -13 -1 -13 -1 -13 -1 -14 0 -14 -1 -14 -1 -14 -1 -14 -1 -15 0 -15 1
87261666,7E:8A:AE:D6:C8:CD,33216,-41.35,0 0 -12 9 -18 10 -17 9 -18 8 -16 7 -16 7 -14 5 -11 5 -9 5 -6 4 -3 5 0 5 3 6 5 7 8 8 9 9 11 11 10 11 10 12 10 13 9 12 8 12 7 11 6 8 5 6 4 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 -4 11 -2 10 -1 8 -1 6 -1 3 -2 1 -3 -2 -5 -4 -7 -5 -10 -5 -12 -6 -14 -6 -15 -5 -16 -5 -16 -4 -17 -3 -15 -3 -14 -3 -11 -3 -10 -3 -7 -4 -4 -5 -1 -6 2 -9 5 -11 6,0 0 12 5 13 8 15 9 15 9 15 9 15 9 13 8 12 7 10 7 8 5 6 2 4 0 3 -3 1 -5 -2 -8 -3 -11 -4 -13 -4 -15 -3 -17 -3 -18 -2 -18 -1 -17 -1 -16 0 -14 1 -11 0 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 -12 2 -12 2 -11 2 -10 2 -9 2 -7 1 -5 -1 -3 -3 -1 -5 0 -7 1 -10 3 -12 4 -14 4 -15 4 -16 4 -15 4 -15 4 -14 3 -13 3 -10 3 -7 2 -4 2 0 3 2 3 5 4
89694100,7E:8A:AE:D6:C8:CD,0,7.66,0 0 4 -13 4 -15 5 -15 6 -15 6 -13 5 -12 4 -10 2 -10 2 -12 1 -13 2 -13 3 -11 2 -8 2 -9 0 -9 -1 -9 0 -9 1 -10 2 -9 2 -8 2 -7 1 -6 1 -6 1 -7 2 -6 2 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 -12 10 -12 10 -12 11 -12 11 -13 11 -12 12 -13 13 -13 13 -12 12 -10 12 -11 12 -11 11 -11 11 -13 10 -13 10 -12 9 -11 9 -10 7 -10 6 -12 5 -14 5 -15 6 -14 7 -14 7 -13 7 -13,0 0 8 -15 10 -13 11 -12 11 -10 9 -8 8 -10 6 -9 6 -11 7 -12 7 -12 7 -11 8 -10 6 -9 5 -9 4 -10 4 -11 5 -12 5 -11 7 -11 7 -10 7 -8 5 -8 5 -6 4 -6 4 -7 5 -7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 -3 12 -3 11 -3 11 -4 12 -4 13 -4 13 -4 14 -3 12 -3 11 -4 12 -5 12 -7 13 -7 13 -7 13 -6 13 -7 11 -6 10 -7 9 -9 10 -11 12 -12 13 -12 13 -11 12 -10 10 -9 8 -8
89746616,7E:8A:AE:D6:C8:CD,0,49.37,0 0 12 1 14 0 13 0 14 0 14 0 14 0 14 0 13 0 13 0 14 -1 13 -1 13 -1 12 -1 12 -2 12 -2 12 -2 13 -2 13 -2 13 -2 13 -1 13 -1 13 0 12 0 12 0 11 1 11 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 9 0 10 0 10 1 11 2 11 2 11 3 11 4 11 4 10 4 9 4 9 4 10 3 10 2 10 2 11 1 11 1 12 1 12 1 13 2 13 1 13 1 13 2 13 2 13 2 14 1,0 0 -10 9 -8 10 -8 11 -9 12 -9 11 -10 11 -9 11 -10 11 -10 10 -9 10 -9 10 -8 9 -7 9 -6 10 -6 10 -5 11 -5 11 -6 12 -6 12 -8 12 -8 12 -8 11 -9 9 -9 8 -9 8 -8 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -6 6 -7 7 -8 7 -9 7 -10 6 -11 6 -11 5 -11 5 -10 5 -10 5 -10 4 -9 5 -9 6 -9 6 -8 7 -9 8 -10 8 -10 8 -10 8 -11 9 -11 9 -11 8 -11 8 -10 8 -9 9 -9 10
89861412,7E:8A:AE:D6:C8:CD,38064,-43.73,0 0 5 -12 4 -10 2 -10 -1 -11 -2 -14 -1 -15 1 -15 1 -15 1 -14 -1 -14 -2 -15 -3 -16 -3 -18 -1 -19 0 -18 -1 -17 -1 -17 -2 -18 -1 -19 -1 -19 0 -20 1 -19 3 -18 1 -17 2 -18 2 -19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 -8 7 -8 7 -8 8 -8 8 -7 9 -7 8 -6 8 -5 6 -5 5 -7 6 -7 6 -8 7 -9 7 -7 5 -8 4 -8 4 -10 4 -10 6 -11 6 -11 8 -11 7 -9 5 -8 4 -8 2 -11 3 -13,0 0 -12 2 -13 2 -13 3 -12 4 -13 4 -13 4 -13 3 -12 2 -10 4 -9 6 -10 7 -11 8 -11 7 -12 7 -11 7 -10 7 -10 8 -9 9 -12 10 -12 9 -12 8 -11 7 -12 7 -11 7 -11 7 -12 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -15 2 -15 1 -16 1 -16 0 -16 -1 -17 -1 -16 -1 -17 -1 -18 -2 -17 -2 -17 -3 -16 -4 -16 -4 -14 -3 -14 -3 -16 -2 -16 -2 -16 -2 -15 -3 -15 -3 -13 -3 -13 -1 -11 1 -12 2 -14 2 -15 1
90227827,7E:8A:AE:D6:C8:CD,33280,-25.90,0 0 -9 -13 -10 -15 -9 -15 -8 -16 -7 -15 -7 -15 -6 -13 -5 -11 -6 -9 -6 -8 -8 -7 -9 -5 -10 -4 -12 -4 -13 -4 -15 -5 -15 -6 -15 -8 -15 -9 -14 -10 -12 -10 -10 -10 -9 -9 -8 -8 -7 -7 -7 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 -9 4 -8 3 -7 2 -7 1 -7 1 -8 -1 -9 -1 -10 -1 -11 -1 -12 -1 -13 0 -14 1 -15 1 -14 1 -14 2 -14 2 -13 1 -12 1 -11 -1 -10 -2 -9 -4 -9 -5 -9 -7 -9 -8 -11 -9 -13,0 0 -20 6 -21 6 -20 5 -20 4 -17 3 -15 2 -11 2 -8 3 -5 4 -2 6 1 7 3 9 5 11 6 13 7 15 7 16 6 17 5 17 4 18 3 17 2 15 1 12 1 10 2 7 2 5 4 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 -4 8 -3 5 -2 3 -3 0 -4 -2 -5 -5 -8 -6 -10 -7 -13 -7 -15 -7 -16 -6 -18 -5 -18 -4 -17 -3 -17 -2 -16 -2 -14 -2 -11 -3 -7 -4 -5 -6 -1 -8 1 -10 4 -12 5 -16 7 -18 8
91354820,7E:8A:AE:D6:C8:CD,0,90.00,0 0 20 9 18 9 15 8 14 7 11 5 9 3 6 0 4 -3 2 -6 0 -9 -2 -12 -2 -15 -3 -16 -3 -19 -3 -19 -2 -20 -1 -20 0 -19 0 -18 0 -16 1 -13 0 -10 -1 -7 -3 -4 -5 -2 -7 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -3 -7 -2 -5 -2 -1 -2 2 -3 5 -5 8 -8 10 -10 12 -12 13 -13 13 -15 12 -16 12 -16 11 -14 9 -12 7 -10 6 -7 4 -4 3 0 3 4 2 8 2 11 3 14 3 16 4 19 5 21 6,0 0 -15 16 -13 16 -11 14 -9 12 -6 9 -4 7 -3 3 -1 -1 -1 -4 -1 -8 -1 -12 -1 -14 -2 -16 -4 -19 -4 -19 -5 -19 -6 -19 -7 -18 -6 -16 -6 -14 -5 -11 -4 -8 -3 -5 -1 -2 1 1 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -6 -8 -3 -7 0 -6 3 -5 7 -3 11 -2 14 -1 17 0 19 1 19 2 20 2 20 2 19 1 17 1 14 1 12 1 8 1 4 2 0 3 -3 4 -7 6 -9 8 -12 10 -14 12 -15 14 -16 16
91421889,7E:8A:AE:D6:C8:CD,33456,62.50,0 0 -21 -9 -19 -8 -17 -8 -15 -7 -12 -5 -10 -3 -7 -1 -5 2 -3 5 -1 8 0 11 1 14 2 16 2 18 1 18 1 19 0 19 -1 18 -2 16 -2 14 -2 12 -1 9 0 6 2 3 4 2 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 6 2 3 1 0 1 -4 2 -7 3 -10 5 -13 7 -15 9 -16 10 -15 12 -15 13 -14 13 -13 11 -11 10 -10 8 -8 5 -7 2 -5 -1 -4 -5 -3 -9 -3 -12 -3 -15 -3 -18 -4 -21 -5 -22 -6,0 0 -23 1 -21 3 -18 3 -16 3 -12 2 -9 2 -4 0 -1 -1 2 -3 5 -6 8 -9 10 -10 11 -12 12 -15 11 -16 11 -17 10 -17 9 -16 8 -15 6 -13 5 -11 3 -8 2 -5 0 -1 -1 1 -2 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -10 1 -7 3 -4 5 -1 7 3 9 5 11 8 12 11 14 13 14 14 14 15 14 15 13 14 12 12 10 10 8 8 5 6 2 4 -2 2 -6 1 -10 0 -13 0 -16 -1 -19 -1 -22 0 -24 1
91623303,7E:8A:AE:D6:C8:CD,33472,55.46,0 0 -22 -2 -21 -2 -18 -2 -16 -2 -13 -1 -11 0 -7 1 -4 4 -2 6 1 8 3 11 4 14 5 15 5 18 4 18 4 19 2 19 1 18 0 16 0 14 0 11 0 8 1 6 3 3 5 1 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 2 4 0 1 -2 0 -5 -2 -7 -2 -11 -2 -14 -1 -16 0 -18 2 -19 3 -19 4 -19 4 -17 4 -15 4 -13 3 -11 1 -9 -1 -6 -3 -4 -6 -1 -10 0 -13 1 -15 2 -18 2 -21 2 -22 1,0 0 -19 12 -16 12 -15 11 -12 9 -9 7 -6 5 -3 2 -1 -1 2 -4 3 -8 4 -11 5 -13 5 -16 5 -18 5 -18 5 -19 4 -19 3 -18 3 -17 2 -15 1 -11 1 -8 0 -5 -1 -1 -1 2 -1 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -7 -6 -4 -5 -1 -5 3 -4 7 -3 10 -2 14 -1 17 0 19 1 19 2 20 2 19 2 18 1 16 1 14 1 11 1 8 1 4 1 0 2 -4 3 -8 5 -11 6 -14 7 -16 9 -18 11 -19 12
91678463,7E:8A:AE:D6:C8:CD,33488,49.18,0 0 -5 15 -8 13 -7 13 -5 12 -5 12 -5 13 -5 12 -4 12 -4 12 -4 12 -3 12 -3 12 -2 12 -2 13 -2 12 -2 12 -3 12 -2 12 -2 12 -2 12 -3 11 -3 11 -3 11 -3 10 -3 9 -3 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -6 12 -6 12 -7 12 -7 12 -8 12 -8 12 -9 12 -9 12 -10 12 -9 12 -10 12 -10 12 -10 12 -9 11 -8 11 -9 12 -8 12 -8 12 -7 12 -7 13 -8 13 -8 13 -7 13 -6 13 -6 13 -6 13,0 0 -5 -17 -5 -15 -5 -14 -6 -14 -6 -13 -6 -14 -6 -13 -6 -13 -5 -13 -6 -13 -6 -12 -7 -12 -6 -11 -7 -12 -6 -11 -6 -11 -6 -11 -6 -11 -6 -11 -6 -11 -5 -11 -6 -10 -5 -11 -5 -10 -4 -10 -4 -10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -8 -13 -8 -13 -8 -14 -7 -14 -7 -15 -6 -15 -6 -16 -5 -16 -5 -17 -5 -16 -4 -16 -4 -16 -4 -16 -4 -16 -4 -16 -4 -16 -5 -15 -4 -15 -5 -15 -5 -16 -5 -16 -6 -16 -5 -15 -5 -15 -6 -16 -7 -15
