timestamp,mac,seq_ctrl,aoa,IQ_master,IQ_worker
23073298,7E:8A:AE:D6:C8:CD,33136,-18.54,0 0 9 6 11 7 11 7 12 7 13 6 14 5 13 3 12 2 11 1 10 1 9 0 8 1 6 1 6 2 6 4 5 4 6 6 7 6 8 7 9 7 9 6 9 5 9 4 9 4 8 3 7 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 -8 14 -8 15 -8 14 -8 13 -7 13 -6 12 -4 12 -3 12 -1 11 1 12 2 13 3 14 4 14 4 15 4 16 3 16 2 16 1 14 0 15 -1 13 -1 12 0 10 0 9 1 8 3 9 4,0 0 16 -3 19 -4 18 -5 17 -6 14 -6 13 -8 11 -7 8 -6 5 -3 4 -2 4 1 3 4 4 5 5 7 6 8 7 9 10 9 10 9 11 8 12 6 10 5 9 3 8 1 6 1 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -10 -12 -10 -11 -8 -12 -7 -11 -5 -10 -3 -10 0 -10 2 -11 4 -10 7 -11 9 -13 9 -14 10 -16 9 -15 8 -16 7 -17 6 -15 5 -14 4 -12 4 -11 4 -8 5 -6 7 -4 9 -1 11 0 14 -1
23108614,7E:8A:AE:D6:C8:CD,33136,-23.51,0 0 11 4 12 4 13 4 14 3 14 2 15 1 13 0 13 -1 11 -2 10 -2 8 -2 8 -1 7 0 7 0 7 2 7 3 8 4 8 4 10 5 11 5 11 4 11 3 10 2 9 1 8 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 -11 12 -11 13 -11 12 -11 13 -10 12 -9 11 -7 11 -6 12 -4 12 -2 13 -1 14 1 14 1 15 1 16 0 16 0 16 -2 16 -2 14 -3 14 -4 13 -4 12 -4 11 -2 10 -1 10 1 10 2,0 0 13 -10 14 -13 14 -14 12 -13 11 -12 8 -14 7 -11 4 -8 4 -7 3 -4 3 -1 5 2 7 3 8 5 10 4 12 3 14 5 14 3 13 1 14 1 11 -1 10 -2 7 -2 5 -2 3 -2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -15 -5 -15 -6 -14 -7 -12 -7 -9 -6 -7 -8 -6 -9 -3 -10 -1 -13 1 -14 2 -16 3 -18 2 -19 1 -19 0 -20 -2 -18 -2 -16 -3 -16 -3 -13 -1 -11 -1 -9 3 -8 4 -7 7 -6 10 -5 12 -6
23146478,7E:8A:AE:D6:C8:CD,33136,-20.16,0 0 -6 -15 -5 -15 -6 -15 -8 -15 -8 -14 -9 -14 -9 -12 -10 -11 -10 -9 -10 -8 -9 -7 -6 -7 -5 -7 -4 -8 -3 -8 -3 -9 -3 -11 -3 -10 -4 -12 -5 -13 -5 -12 -6 -12 -6 -11 -6 -9 -7 -8 -5 -7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -18 -4 -18 -5 -19 -5 -18 -5 -17 -5 -16 -6 -14 -7 -13 -8 -12 -9 -10 -10 -10 -11 -9 -14 -10 -14 -10 -15 -11 -15 -12 -15 -13 -14 -13 -14 -13 -11 -14 -11 -13 -10 -12 -9 -10 -9 -8 -9 -7 -9 -6 -10,0 0 -15 -6 -18 -6 -18 -6 -17 -4 -16 -2 -15 -1 -12 -1 -10 0 -7 -1 -5 -1 -3 -3 -2 -5 -1 -7 -2 -9 -2 -11 -3 -12 -4 -14 -5 -13 -6 -13 -6 -12 -7 -10 -6 -8 -6 -6 -5 -4 -4 -3 -1 -2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 13 2 13 2 12 1 11 -1 10 -3 9 -5 8 -7 6 -10 6 -11 6 -13 6 -15 7 -15 8 -14 9 -14 9 -13 10 -12 10 -11 9 -8 8 -9 7 -8 4 -8 2 -8 -1 -9 -3 -11 -5 -12 -7
23191907,7E:8A:AE:D6:C8:CD,33136,16.78,0 0 -9 -7 -12 -8 -13 -7 -15 -8 -13 -6 -14 -6 -13 -5 -12 -3 -12 -2 -11 -1 -10 -1 -8 -2 -7 -2 -7 -4 -6 -5 -6 -6 -7 -7 -8 -7 -8 -8 -10 -7 -10 -7 -10 -6 -10 -5 -10 -4 -8 -3 -8 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -15 8 -15 7 -15 8 -15 7 -15 7 -13 5 -14 4 -13 2 -13 0 -13 -2 -13 -2 -13 -4 -15 -4 -15 -5 -16 -4 -17 -3 -16 -3 -17 -2 -15 -1 -15 0 -15 1 -13 0 -12 0 -10 -2 -10 -3 -10 -5,0 0 1 -17 1 -19 1 -19 -1 -18 -2 -16 -3 -15 -3 -11 -3 -9 -2 -7 0 -6 2 -4 4 -2 6 -2 9 -3 10 -4 11 -6 12 -7 11 -7 10 -9 9 -10 8 -9 5 -9 3 -6 2 -6 1 -4 0 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -14 6 -14 6 -13 5 -12 3 -11 1 -11 -1 -10 -2 -10 -6 -10 -8 -9 -11 -10 -10 -12 -13 -12 -14 -13 -13 -13 -12 -13 -11 -13 -9 -12 -9 -10 -7 -9 -7 -7 -6 -4 -7 -2 -8 1 -10 2 -11 3 -15
23235355,7E:8A:AE:D6:C8:CD,33136,41.09,0 0 9 4 11 8 11 7 12 7 12 6 14 5 13 4 13 2 12 2 11 1 9 1 8 0 7 2 6 3 6 4 5 5 6 6 7 7 9 7 9 8 9 7 9 6 10 5 9 4 8 4 7 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 -7 15 -7 15 -7 15 -6 14 -6 14 -5 13 -4 13 -2 12 -1 11 1 11 3 12 5 14 6 13 5 14 5 16 5 15 3 16 3 15 1 14 1 13 0 12 0 10 0 9 1 8 2 7 4,0 0 -15 3 -18 6 -19 6 -17 6 -16 8 -14 9 -11 8 -9 7 -7 6 -5 3 -5 0 -5 -2 -5 -5 -6 -7 -7 -9 -9 -10 -10 -11 -12 -10 -13 -11 -13 -9 -12 -7 -11 -6 -10 -5 -8 -3 -6 -2 -5 -2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 4 14 6 13 5 11 6 8 6 6 7 3 9 0 9 -3 11 -4 12 -4 14 -6 16 -6 17 -5 17 -3 17 -3 17 -2 16 -2 14 -1 13 -1 10 -2 8 -3 6 -5 4 -8 3 -11 2 -14 2
26397299,7E:8A:AE:D6:C8:CD,0,3.78,0 0 8 -11 7 -11 8 -12 8 -13 8 -13 8 -15 7 -14 6 -14 4 -14 4 -14 3 -13 3 -11 4 -10 5 -10 5 -8 7 -8 8 -8 9 -9 10 -9 11 -10 10 -9 10 -10 9 -9 8 -9 7 -8 7 -7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -4 -13 -4 -14 -4 -14 -4 -14 -5 -14 -4 -13 -3 -13 -3 -12 -2 -11 0 -11 2 -10 3 -11 4 -12 5 -12 5 -13 5 -15 5 -15 3 -16 2 -15 2 -16 1 -16 1 -15 1 -13 1 -12 2 -12 3 -12,0 0 -15 8 -16 11 -15 12 -15 11 -12 11 -11 11 -9 10 -8 8 -7 7 -5 5 -5 2 -6 0 -8 -3 -10 -4 -11 -5 -13 -5 -15 -4 -16 -3 -17 -3 -17 -2 -14 -1 -13 1 -12 1 -9 2 -7 1 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 5 12 6 10 6 10 6 8 6 6 6 5 7 2 9 0 10 -1 11 -3 12 -3 14 -3 15 -2 16 -1 16 -1 16 0 16 1 14 1 12 0 12 0 9 -3 9 -4 6 -7 6 -10 6 -12 7
26448455,7E:8A:AE:D6:C8:CD,33184,19.77,0 0 -6 9 -7 11 -8 11 -9 13 -8 14 -8 14 -6 14 -5 13 -5 13 -4 12 -4 12 -4 10 -5 8 -6 8 -7 7 -8 7 -9 7 -11 7 -12 8 -12 9 -12 8 -11 8 -11 9 -10 8 -8 7 -8 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 11 5 11 5 12 5 12 6 11 5 10 4 10 3 9 2 9 0 8 -1 8 -3 9 -4 10 -5 11 -4 12 -4 14 -3 14 -3 15 -1 14 -1 15 1 14 1 13 0 11 -1 10 -2 10 -4 10,0 0 -15 -2 -18 -3 -19 -3 -19 -1 -19 0 -17 1 -15 1 -13 2 -10 1 -8 0 -7 -1 -6 -3 -5 -6 -5 -9 -5 -10 -7 -12 -8 -14 -9 -15 -11 -14 -11 -14 -10 -13 -11 -11 -10 -8 -8 -7 -7 -6 -5 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 11 4 11 3 10 3 11 1 9 0 8 -1 7 -4 6 -6 7 -8 6 -10 7 -12 8 -12 8 -13 9 -12 10 -11 11 -11 12 -10 11 -9 10 -7 10 -7 7 -7 5 -7 3 -9 2 -11 -1 -12 -3
26536571,7E:8A:AE:D6:C8:CD,33200,33.91,0 0 12 4 13 4 14 4 15 4 15 3 16 3 14 2 14 1 13 1 13 -1 12 0 10 0 9 1 9 3 9 3 9 4 10 6 10 7 11 6 12 7 11 7 12 6 12 6 10 4 10 4 8 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 -6 11 -5 12 -6 12 -7 12 -6 11 -6 11 -5 11 -5 11 -4 9 -2 11 -1 10 1 11 1 12 2 13 1 15 1 15 1 16 0 15 -1 15 -2 14 -2 13 -3 12 -2 11 -1 12 0 11 1,0 0 -10 12 -10 16 -9 16 -9 17 -7 15 -5 16 -3 13 -4 13 -2 10 -2 8 -5 5 -6 3 -7 1 -9 1 -12 1 -14 1 -17 3 -16 2 -17 4 -17 5 -16 6 -13 7 -12 4 -10 5 -8 4 -6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 1 11 1 11 1 9 2 9 2 6 3 6 4 5 6 4 7 3 10 3 11 4 13 3 14 4 15 6 14 7 15 5 14 7 13 5 11 5 10 3 10 2 7 0 8 -3 8 -6 9 -7 9
26612825,7E:8A:AE:D6:C8:CD,33216,27.42,0 0 8 -9 10 -11 10 -11 11 -12 10 -12 9 -13 8 -13 7 -13 6 -12 5 -12 5 -10 5 -9 5 -7 6 -7 7 -6 8 -7 9 -6 10 -7 10 -8 11 -9 11 -9 10 -9 9 -9 7 -8 6 -8 6 -7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -12 0 -13 0 -13 0 -13 0 -13 0 -13 0 -13 2 -12 2 -11 3 -10 4 -9 5 -10 7 -10 7 -10 7 -12 8 -13 7 -14 7 -14 6 -14 5 -14 4 -14 4 -13 4 -12 4 -11 6 -10 7 -10,0 0 11 11 12 12 13 11 14 11 14 9 15 7 13 7 11 4 9 4 7 4 5 4 3 6 1 7 0 9 1 10 0 12 1 14 1 15 3 16 4 16 4 13 5 13 5 10 4 8 2 7 1 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 -11 5 -11 6 -11 6 -10 5 -8 5 -7 7 -5 8 -4 9 -2 10 0 11 2 12 1 14 1 15 1 16 -1 16 -2 15 -2 14 -3 13 -3 12 -3 11 -2 9 -1 8 1 8 4 8 7 8 8
26741190,7E:8A:AE:D6:C8:CD,29984,20.08,0 0 4 12 4 13 4 14 5 15 5 15 6 16 6 14 7 14 8 12 8 11 7 10 5 9 4 9 3 9 2 9 1 10 0 12 0 13 0 14 -1 14 0 14 1 14 1 13 1 12 1 11 1 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 5 11 5 11 5 12 5 12 4 11 4 11 4 10 4 9 5 7 5 6 6 6 8 5 9 6 10 6 10 8 12 9 12 10 12 10 11 11 11 11 10 11 9 9 9 8 8 7 9 6 9,0 0 -12 10 -13 11 -14 12 -12 13 -12 13 -11 14 -8 12 -7 11 -6 9 -6 8 -6 5 -6 3 -8 1 -9 0 -11 -1 -12 0 -14 0 -15 0 -16 2 -16 2 -15 3 -14 3 -12 3 -10 3 -9 2 -7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 7 9 7 8 6 8 6 7 6 5 5 4 6 3 7 1 8 -1 8 -2 10 -2 11 -2 13 -1 13 -1 14 -1 16 1 15 1 14 1 13 2 12 1 11 0 9 -3 8 -4 7 -7 7 -10 8
26793591,7E:8A:AE:D6:C8:CD,33248,20.14,0 0 -12 -1 -14 -1 -15 -2 -16 -2 -16 -1 -17 0 -16 0 -15 1 -15 2 -15 3 -13 2 -12 2 -11 1 -10 -1 -11 -2 -11 -3 -11 -4 -12 -5 -13 -5 -14 -5 -14 -5 -14 -5 -14 -4 -12 -4 -12 -3 -10 -3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -9 7 -9 8 -10 9 -10 8 -10 9 -9 8 -9 8 -9 7 -9 6 -9 5 -10 3 -10 2 -11 2 -12 1 -13 1 -14 2 -15 3 -15 4 -14 4 -15 6 -14 6 -13 6 -12 5 -11 4 -12 3 -12 2,0 0 -6 -14 -5 -18 -5 -18 -6 -18 -7 -17 -9 -16 -8 -13 -8 -12 -7 -10 -6 -9 -4 -7 -1 -7 0 -7 3 -9 4 -9 6 -10 6 -12 6 -14 5 -15 6 -16 4 -15 4 -15 2 -13 1 -11 1 -10 1 -7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -12 5 -12 5 -11 5 -10 5 -9 4 -9 2 -8 1 -9 -2 -8 -3 -9 -5 -9 -6 -10 -8 -11 -8 -13 -9 -13 -8 -15 -8 -15 -7 -15 -6 -13 -5 -13 -4 -11 -4 -9 -4 -7 -5 -5 -7 -5 -8 -3 -10
