timestamp,mac,seq_ctrl,aoa,master_rssi,worker_rssi,IQ_master,IQ_worker
32295120,7E:8A:AE:D6:C8:CD,8560,8.90,-79,-77,0 0 -4 12 -4 16 -5 12 -6 14 -4 13 -5 14 -4 16 -3 14 -2 13 -4 13 -2 12 -2 13 -3 14 -1 12 -1 13 -1 11 1 11 -1 12 0 12 0 12 -1 11 -3 13 -2 13 -2 11 0 10 -2 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -3 6 0 5 -2 8 -2 7 -2 7 -3 8 -4 9 -3 10 -5 10 -7 10 -4 10 -6 11 -7 11 -4 11 -6 12 -6 12 -7 10 -7 12 -7 10 -6 12 -6 12 -5 14 -5 12 -7 12 -6 15 -8 14,0 0 -8 11 -9 9 -7 9 -7 9 -5 10 -6 13 -7 10 -5 13 -7 13 -6 12 -6 14 -5 15 -6 15 -6 15 -6 15 -6 17 -7 15 -7 15 -7 15 -9 17 -9 17 -7 14 -12 16 -10 15 -11 14 -12 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -10 2 -10 1 -12 2 -10 2 -11 1 -11 3 -12 1 -12 -1 -10 2 -10 2 -12 3 -11 1 -9 4 -10 5 -9 3 -8 2 -10 3 -8 4 -8 6 -9 7 -9 7 -9 5 -7 7 -5 8 -6 9 -7 10
32497060,7E:8A:AE:D6:C8:CD,65264,-10.22,-75,-77,0 0 -13 7 -13 10 -12 9 -13 10 -11 9 -11 10 -11 7 -10 7 -9 7 -10 6 -11 7 -11 6 -11 6 -12 7 -13 7 -12 8 -12 9 -12 10 -12 10 -11 10 -9 9 -10 8 -8 8 -8 6 -7 4 -8 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -5 7 -6 7 -7 8 -7 9 -7 8 -7 9 -7 9 -8 9 -8 8 -7 8 -8 7 -8 7 -8 7 -10 7 -9 7 -11 7 -11 7 -11 8 -11 8 -11 8 -11 8 -12 8 -11 8 -12 8 -14 9 -15 9,0 0 -3 7 -5 10 -4 12 -4 14 -2 16 -1 17 0 18 1 17 2 17 2 16 3 13 0 12 -1 11 -3 10 -6 9 -9 9 -14 10 -14 10 -16 12 -19 12 -20 13 -20 14 -20 12 -17 11 -16 8 -16 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 8 2 6 2 6 1 5 1 3 0 2 -2 0 -3 2 -4 2 -4 3 -5 4 -4 4 -3 7 -3 7 -1 8 0 8 2 9 4 8 5 6 6 6 7 5 5 4 4 2 3 2 0 3 -2 3
32804533,7E:8A:AE:D6:C8:CD,65280,5.66,-74,-77,0 0 -12 10 -11 11 -11 11 -11 11 -11 10 -11 10 -10 9 -9 9 -10 10 -9 11 -9 11 -9 10 -9 10 -9 11 -9 10 -8 9 -8 10 -8 11 -8 10 -8 11 -9 10 -9 8 -8 9 -9 8 -8 8 -7 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -5 8 -6 8 -6 8 -7 8 -6 8 -7 8 -9 8 -9 9 -8 8 -8 8 -10 8 -9 8 -9 8 -9 8 -10 9 -10 9 -10 9 -11 9 -9 9 -11 10 -10 10 -11 10 -10 10 -11 11 -11 11 -12 11,0 0 -9 6 -12 7 -11 8 -11 8 -11 9 -12 10 -11 10 -13 11 -12 12 -12 12 -13 13 -13 13 -11 14 -14 15 -12 15 -13 15 -14 16 -13 15 -13 16 -14 17 -14 17 -15 16 -16 15 -15 15 -16 14 -17 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 -7 1 -8 -1 -6 0 -7 0 -5 -1 -7 0 -5 -1 -5 0 -4 -1 -4 -2 -3 -3 -3 -2 -3 -2 -2 -3 -1 -3 -1 -3 -1 -6 1 -5 1 -6 2 -6 4 -6 4 -7 3 -8 5 -8 7 -11 7
32835277,7E:8A:AE:D6:C8:CD,65280,22.34,-74,-77,0 0 12 -5 15 -7 13 -6 14 -6 14 -7 13 -8 11 -7 10 -6 10 -7 11 -6 11 -6 10 -5 11 -5 11 -4 13 -4 12 -5 13 -7 13 -7 13 -9 13 -8 11 -9 9 -7 9 -7 7 -5 7 -6 7 -4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 -8 8 -8 9 -8 8 -8 8 -7 9 -8 8 -7 9 -7 9 -6 9 -4 10 -4 11 -4 11 -3 11 -3 11 -4 13 -6 13 -6 13 -7 11 -6 12 -7 12 -7 12 -7 12 -6 12 -6 13 -5 14 -4,0 0 6 4 8 6 9 6 12 7 13 7 16 7 15 5 17 5 16 4 15 3 14 3 11 2 10 4 9 5 7 7 6 10 6 14 6 15 7 17 7 19 8 20 8 21 8 20 7 20 5 17 3 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 4 5 3 5 2 4 1 2 1 1 1 1 0 -2 1 -1 1 -1 2 -1 3 -1 4 1 5 2 4 2 4 5 2 6 1 7 -1 6 -3 7 -4 7 -6 5 -6 4 -5 4 -5 4 -3 5 -1
32874756,7E:8A:AE:D6:C8:CD,65280,-5.52,-75,-77,0 0 -13 -3 -16 -2 -16 -2 -16 -1 -15 -1 -14 0 -13 -1 -12 -1 -12 -1 -12 -1 -13 -2 -13 -2 -13 -2 -14 -2 -15 -3 -15 -2 -15 -1 -16 0 -16 1 -15 1 -14 1 -13 1 -11 1 -10 0 -10 -1 -8 -2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -10 1 -11 2 -11 2 -12 2 -11 2 -11 2 -11 2 -11 0 -12 0 -11 -1 -11 -1 -12 -3 -13 -1 -13 -2 -13 -2 -14 -2 -14 -2 -14 -2 -14 -1 -15 -1 -14 -1 -14 -1 -14 -2 -14 -2 -15 -3 -16 -4,0 0 -7 3 -11 2 -12 4 -15 4 -16 7 -17 9 -17 9 -17 12 -15 11 -14 11 -12 11 -12 10 -11 8 -11 5 -12 1 -13 -1 -15 -3 -18 -5 -19 -7 -23 -8 -23 -8 -25 -9 -23 -10 -22 -10 -21 -9 -19 -10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -9 6 -10 6 -8 6 -7 5 -6 5 -4 2 -3 0 -2 -1 -3 -3 -2 -3 -3 -5 -5 -5 -6 -3 -6 -2 -6 0 -7 2 -6 5 -4 6 -4 8 -2 9 -1 10 1 10 0 7 1 7 -1 6 -2 4
36696869,7E:8A:AE:D6:C8:CD,0,25.54,-78,-81,0 0 -14 -10 -14 -9 -14 -9 -17 -10 -14 -8 -15 -10 -14 -8 -15 -8 -14 -7 -16 -9 -16 -7 -15 -8 -15 -6 -14 -8 -14 -7 -12 -6 -14 -7 -15 -7 -14 -6 -15 -7 -13 -8 -12 -7 -10 -8 -11 -8 -10 -8 -10 -8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -9 -5 -8 -8 -10 -7 -9 -7 -10 -8 -8 -8 -9 -7 -10 -9 -10 -10 -10 -10 -10 -10 -10 -10 -8 -9 -10 -8 -12 -7 -12 -9 -11 -9 -12 -10 -11 -10 -13 -9 -14 -8 -15 -7 -21 -8 -10 -5 -17 -8 -14 -10,0 0 9 5 9 3 10 3 11 2 12 3 13 2 13 3 14 3 14 4 14 3 16 3 15 1 15 2 18 3 19 4 17 2 17 3 18 4 19 7 19 7 19 7 20 7 20 9 18 11 17 10 16 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -5 11 -4 11 -4 12 -3 12 -4 12 -5 10 -4 13 -7 9 -4 9 -4 7 -3 7 -4 8 -4 7 -3 7 -2 5 -4 6 1 4 0 5 2 3 2 4 1 3 0 6 -4 5 15 7 5 6 10 1
37068130,7E:8A:AE:D6:C8:CD,0,-25.48,-79,-78,0 0 -6 15 -7 17 -4 16 -2 18 -1 15 -2 14 -2 12 0 9 -3 8 -4 7 -7 7 -7 8 -9 8 -11 8 -12 9 -11 10 -11 12 -10 13 -9 13 -8 13 -7 13 -4 10 -5 8 -4 5 -4 3 -5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 5 9 5 7 5 7 5 5 5 4 5 3 7 1 10 0 11 -1 12 -2 14 -1 13 0 13 1 13 3 15 3 14 3 12 3 11 3 10 2 10 1 9 -1 8 -3 9 -4 10 -5 12 -8 13,0 0 2 7 6 7 8 9 9 8 11 8 14 7 15 5 16 5 14 3 15 3 13 2 10 2 9 2 5 3 3 7 0 9 -3 11 -6 13 -8 16 -9 17 -10 19 -11 19 -12 20 -11 17 -11 15 -11 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -8 -20 -7 -18 -7 -16 -5 -14 -2 -12 1 -8 3 -6 6 -3 9 1 10 1 12 2 14 1 16 2 16 -1 15 -2 15 -3 13 -5 11 -7 8 -8 7 -7 3 -8 2 -6 -1 -5 -2 -2 -1 -1 -1 2
44236145,7E:8A:AE:D6:C8:CD,0,37.54,-74,-78,0 0 3 13 5 16 5 16 6 16 7 15 8 15 7 12 7 10 6 9 5 9 4 9 2 9 1 9 -2 10 -1 12 -1 12 -1 14 0 15 1 16 1 17 2 15 2 13 3 12 1 10 1 9 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 -1 10 -1 10 -1 10 -1 10 0 8 1 7 1 7 4 6 5 6 6 6 9 6 10 8 11 8 11 10 11 10 11 11 10 11 9 11 8 11 7 8 7 8 7 6 7 3 9 3 10 2 11,0 0 -13 11 -11 10 -10 8 -7 7 -8 3 -6 2 -6 1 -8 -2 -8 -1 -9 -1 -10 -1 -9 0 -9 2 -9 1 -6 1 -3 1 -1 1 0 -2 -1 -3 1 -7 0 -8 -3 -9 -2 -9 -4 -9 -2 -9 -3 -8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -10 18 -10 15 -10 14 -12 13 -12 10 -13 11 -17 10 -18 8 -20 9 -19 9 -18 11 -20 12 -18 14 -15 14 -12 14 -14 13 -11 13 -11 10 -10 8 -11 9 -13 10 -14 8 -14 6 -16 9 -18 9 -15 11
124795670,7E:8A:AE:D6:C8:CD,24944,-31.08,-81,-72,0 0 9 9 9 9 10 8 10 9 11 10 10 9 9 7 10 7 10 7 10 8 11 7 12 8 8 7 11 7 11 7 11 6 12 7 13 6 13 9 14 9 13 9 12 8 13 11 11 9 10 9 11 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 12 7 13 6 13 5 13 5 12 4 11 3 11 3 11 4 12 3 9 2 11 4 9 3 10 5 9 7 8 5 9 7 8 7 8 7 8 8 9 8 8 7 8 8 9 9 9 9 9 8 9,0 0 11 -8 12 -10 11 -10 11 -8 10 -9 10 -10 9 -9 9 -9 9 -9 9 -9 9 -9 8 -9 7 -9 7 -9 6 -8 7 -8 7 -9 7 -8 7 -8 7 -7 7 -7 6 -7 6 -7 6 -7 6 -5 5 -5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 -8 9 -9 10 -8 10 -9 10 -8 12 -8 11 -9 12 -8 12 -8 11 -8 12 -8 12 -8 12 -8 11 -8 13 -8 12 -8 12 -8 11 -8 11 -9 11 -9 11 -10 11 -9 11 -10 11 -9 11 -9 13 -9
165635967,7E:8A:AE:D6:C8:CD,0,90.00,-72,-74,0 0 10 -10 11 -13 11 -13 12 -11 11 -11 11 -11 9 -12 11 -11 10 -11 10 -12 9 -12 9 -11 8 -11 9 -12 8 -12 8 -11 8 -12 9 -12 8 -12 9 -12 9 -10 7 -11 8 -10 7 -10 7 -10 7 -9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 -6 4 -6 5 -6 5 -7 4 -8 6 -8 6 -8 7 -7 8 -8 8 -8 8 -8 8 -8 8 -8 8 -8 9 -8 9 -9 9 -9 9 -9 9 -10 9 -10 9 -11 10 -12 10 -11 10 -10 11 -11 12 -12,0 0 -8 9 -8 10 -9 10 -7 8 -7 8 -6 9 -6 8 -6 7 -3 7 -4 7 -3 7 -3 5 -3 7 -2 6 -2 4 -2 5 -1 5 -3 5 -1 3 -2 4 0 2 1 2 2 3 0 2 1 1 -1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -11 13 -12 12 -12 13 -13 13 -13 12 -15 13 -15 12 -15 12 -14 12 -15 11 -16 13 -15 11 -16 12 -15 10 -15 10 -14 11 -14 11 -13 10 -13 11 -13 12 -12 11 -12 10 -11 9 -10 11 -11 9 -12 11
